,id,title,description,price,condition,brand,link,mobile_link,gtin,mpn,image_link,google_product_category,availability,availability_date,shipping,tax,online_only,expiration_date,product_type,shipping_weight,excluded_destination,color,gender,age_group,item_group_id,additional_image_link,material,pattern,size,size_type,size_system,sale_price,sale_price_effective_date,adwords_grouping,adwords_labels,adwords_redirect,manufacturer,identifier_exists,multipack,is_bundle,adult,promotion_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,shipping_label,shipping_height,shipping_length,shipping_width,unit_pricing_measure,unit_pricing_base_measure,display_ads_similar_id,display_ads_link,display_ads_id,display_ads_title,display_ads_value
0,4B141~light-nude-matte-satin,Light Nude The Ada Dress,"This is a maxi gown featuring a halter neckline, side cutouts, and and a side split. It has an invisible zip closure.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-the-ada-dress-539?color=light-nude-matte-satin,,,4B141~light-nude-matte-satin,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/47473/large/4b141-ms17-front-crop.jpg?1545963995,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Light Nude,female,Adult,4B141,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4B398~pale-blue-heavy-georgette,Pale Blue Mirabella,"Give yourself some leg room. The Mirabella is a maxi dress featuring a plunging neckline, an open back with corset-inspired lacing, and a thigh-high side split.",249.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-mirabella-582?color=pale-blue-heavy-georgette,,,4B398~pale-blue-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45260/large/4b398-hg24-front-crop.jpg?1545964034,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Column,,,Pale Blue,female,Adult,4B398,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4B450~navy-light-georgette,Navy Allegra,"Sweet but sexy. The Allegra is a maxi dress featuring a pleated, crossfront neckline, an open back with corset-inspired lacing and a full skirt that flares at the hips. It has an invisible zip closure.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-allegra-680?color=navy-light-georgette,,,4B450~navy-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45815/large/4b450-lg22-front-crop.jpg?1545959375,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Navy,female,Adult,4B450,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4B450~pale-grey-light-georgette,Pale Grey Allegra,"Sweet but sexy. The Allegra is a maxi dress featuring a pleated, crossfront neckline, an open back with corset-inspired lacing and a full skirt that flares at the hips. It has an invisible zip closure.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-allegra-680?color=pale-grey-light-georgette,,,4B450~pale-grey-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45828/large/4b450-lg25-front-crop.jpg?1545959367,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Pale Grey,female,Adult,4B450,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4B450~pale-pink-light-georgette,Pale Pink Allegra,"Sweet but sexy. The Allegra is a maxi dress featuring a pleated, crossfront neckline, an open back with corset-inspired lacing and a full skirt that flares at the hips. It has an invisible zip closure.",279.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-allegra-680?color=pale-pink-light-georgette,,,4B450~pale-pink-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45826/large/4b450-lg26-front-crop.jpg?1545959373,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,2-3 weeks,,,Pale Pink,female,Adult,4B450,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4B540~forest-green-light-georgette,Forest Green Larissa,"Understated, relaxed, and undeniably sexy. The Larissa is a pleated maxi dress featuring a plunging neckline, wide sleeves, and a full skirt. It has a fabric belt at the waist and an invisible zip closure.",315.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-larissa-689?color=forest-green-light-georgette,,,4B540~forest-green-light-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/47412/large/4b540-lg11-crop.jpg?1545959235,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Forest Green,female,Adult,4B540,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4B568~ivory-matte-stretch-woven,Ivory Firedust,"Edge up your evening look. The Firedust is a body-skimming maxi dress featuring a plunging neckline, side cutouts, and splits at either side of the skirt. It has an invisible zip closure.",269.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-firedust-630?color=ivory-matte-stretch-woven,,,4B568~ivory-matte-stretch-woven,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45795/large/4b568-msw14-front-crop.jpg?1545964050,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Ivory,female,Adult,4B568,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4B587~black-tafetta,Black Queen Of Peace,For those with a dramatic flair. Queen of Peace is a princess-style maxi gown featuring criss-crossing straps at the back and side cutouts. It has an invisible zip closure.,299.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-queen-of-peace-632?color=black-tafetta,,,4B587~black-tafetta,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45421/large/4b587-tf2-front-crop.jpg?1545964069,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,Hourglass,,,Black,female,Adult,4B587,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4B590~pale-grey-heavy-georgette,Pale Grey Stella,"The best part? It has pockets! The Stella is a maxi dress featuring a deep V neckline, a wide banded waist, and a full skirt. It has an invisible zip closure.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-stella-635?color=pale-grey-heavy-georgette,,,4B590~pale-grey-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45840/large/4b590-hg25-crop.jpg?1545964071,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,formal,,,Pale Grey,female,Adult,4B590,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4B590~peach-heavy-georgette,Peach Stella,"The best part? It has pockets! The Stella is a maxi dress featuring a deep V neckline, a wide banded waist, and a full skirt. It has an invisible zip closure.",229.0,new,Fame&Partners,https://www.fameandpartners.com/dresses/dress-stella-635?color=peach-heavy-georgette,,,4B590~peach-heavy-georgette,https://d2ta5pga3sqz6i.cloudfront.net/spree/products/45838/large/4b590-hg28-crop.jpg?1545964076,Apparel & Accessories > Clothing > Dresses,in stock,,,,,,formal,,,Peach,female,Adult,4B590,,,,US 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
